date,price,gex
2012-03-29,1403.280029,2332339630.455
2012-03-30,1408.469971,2282703675.57
2012-04-02,1419.040039,2916921422.275
2012-04-03,1413.380005,3033797132.77
2012-04-04,1398.959961,2606570751.961
2012-04-05,1398.079956,2336089426.405
2012-04-09,1382.199951,2115169226.59
2012-04-10,1358.589966,1368222030.0366
2012-04-11,1368.709961,1462342360.705
2012-04-12,1387.569946,1958043308.605
2012-04-13,1370.26001,1337731244.64
2012-04-16,1369.569946,1028359493.695
2012-04-17,1390.780029,2233741866.255
2012-04-18,1385.140015,2120779337.025
2012-04-19,1376.920044,1245238435.31
2012-04-20,1378.530029,1706147508.0
2012-04-23,1366.939941,888535953.586
2012-04-24,1371.969971,913083815.47
2012-04-25,1390.689941,2110801540.895
2012-04-26,1399.97998,2269777815.02
2012-04-27,1403.359985,1934055831.605
2012-04-30,1397.910034,1624605078.63
2012-05-01,1405.819946,1751590437.53
2012-05-02,1402.310059,1795486806.025
2012-05-03,1391.569946,1326585749.03
2012-05-04,1369.099976,850668974.658
2012-05-07,1369.579956,902222296.434
2012-05-08,1363.719971,710820417.25
2012-05-09,1354.579956,568596382.95
2012-05-10,1357.98999,631565006.1
2012-05-11,1353.390015,555886856.24
2012-05-14,1338.349976,89135534.315
2012-05-15,1330.660034,-125631970.04
2012-05-16,1324.800049,-417011821.931
2012-05-17,1304.859985,-846538042.94
2012-05-18,1295.219971,-672969511.129
2012-05-21,1315.98999,499777733.47
2012-05-22,1316.630005,552166197.174
2012-05-23,1318.859985,786423702.09
2012-05-24,1320.680054,756275096.21
2012-05-25,1317.819946,522648606.24
2012-05-29,1332.420044,893471034.94
2012-05-30,1313.319946,739225067.865
2012-05-31,1310.329956,705360324.21
2012-06-01,1278.040039,3285451.832
2012-06-04,1278.180054,112625048.24
2012-06-05,1285.5,227443359.23
2012-06-06,1315.130005,917404043.83
2012-06-07,1314.98999,911195352.79
2012-06-08,1325.660034,1092349771.59
2012-06-11,1308.930054,600860582.815
2012-06-12,1324.180054,1002291726.758
2012-06-13,1314.880005,621053228.695
2012-06-14,1329.099976,853414513.46
2012-06-15,1342.839966,1585847554.79
2012-06-18,1344.780029,1378484206.48
2012-06-19,1357.97998,1699864260.63
2012-06-20,1355.689941,1642282374.015
2012-06-21,1325.51001,815506214.8
2012-06-22,1335.02002,1173714562.315
2012-06-25,1313.719971,733649453.56
2012-06-26,1319.98999,909516188.36
2012-06-27,1331.849976,1115174392.0
2012-06-28,1329.040039,812546271.47
2012-06-29,1362.160034,1807855816.16
2012-07-02,1365.51001,2077705971.875
2012-07-03,1374.02002,2456658030.524
2012-07-05,1367.579956,2473469808.34
2012-07-06,1354.680054,1796281206.73
2012-07-09,1352.459961,1985662005.34
2012-07-10,1341.469971,1586232703.46
2012-07-11,1341.449951,1449572893.14
2012-07-12,1334.76001,1098347662.44
2012-07-13,1356.780029,2028145542.891
2012-07-16,1353.640015,2062023143.83
2012-07-17,1363.670044,2418730699.45
2012-07-18,1372.780029,2553132550.353
2012-07-19,1376.51001,3097865785.235
2012-07-20,1362.660034,1379986328.23
2012-07-23,1350.52002,0.0
2012-07-24,1338.310059,983971321.815
2012-07-25,1337.890015,553912048.545
2012-07-26,1360.02002,1114339575.945
2012-07-27,1385.969971,1817831830.045
2012-07-30,1385.300049,2068297482.82
2012-07-31,1379.319946,2210392334.245
2012-08-01,1375.319946,1938954422.884
2012-08-02,1365.0,1726903124.535
2012-08-03,1390.98999,2366858965.65
2012-08-06,1394.22998,2600155257.21
2012-08-07,1401.349976,2868172571.576
2012-08-08,1402.219971,2724860533.47
2012-08-09,1402.800049,2589509365.99
2012-08-10,1405.869995,2574028859.179
2012-08-13,1404.109985,2715897940.4
2012-08-14,1403.930054,2876834423.665
2012-08-15,1405.530029,2773023612.038
2012-08-16,1415.51001,3426865148.357
2012-08-17,1418.160034,4028299817.1
2012-08-20,1418.130005,2348409048.235
2012-08-21,1413.170044,2116768542.724
2012-08-22,1413.48999,2470160727.875
2012-08-23,1402.079956,2093397740.358
2012-08-24,1411.130005,2162075949.422
2012-08-27,1410.439941,2402914523.68
2012-08-28,1409.300049,2444897531.4
2012-08-29,1410.48999,2450773598.506
2012-08-30,1399.47998,1713438838.959
2012-08-31,1406.579956,2159856180.695
2012-09-04,1404.939941,2366329794.745
2012-09-05,1403.439941,2184889898.11
2012-09-06,1432.119995,3383251558.3345
2012-09-07,1437.920044,3213127405.495
2012-09-10,1429.079956,2688557354.315
2012-09-11,1433.560059,2751129283.757
2012-09-12,1436.560059,3143426308.94
2012-09-13,1459.98999,4501792814.7428
2012-09-14,1465.77002,4079191869.175
2012-09-17,1461.189941,4194673586.877
2012-09-18,1459.319946,4348508721.73
2012-09-19,1461.050049,4606321234.697
2012-09-20,1460.26001,4242811907.3808
2012-09-21,1460.150024,8992652051.085
2012-09-24,1456.890015,2637542456.414
2012-09-25,1441.589966,1826144997.7504
2012-09-26,1433.319946,1336101729.165
2012-09-27,1447.150024,2572778273.565
2012-09-28,1440.670044,2174491589.2378
2012-10-01,1444.48999,2058078578.339
2012-10-02,1445.75,2019845362.51
2012-10-03,1450.98999,2751403325.215
2012-10-04,1461.400024,2875956470.0798
2012-10-05,1460.930054,2276244806.57
2012-10-08,1455.880005,1914155683.126
2012-10-09,1441.47998,1529584844.7579
2012-10-10,1432.560059,1585118597.933
2012-10-11,1432.839966,1166712068.71
2012-10-12,1428.589966,1366428443.0543
2012-10-15,1440.130005,1799022345.4874
2012-10-16,1454.920044,2792940189.3425
2012-10-17,1460.910034,2882740927.8922
2012-10-18,1457.339966,2166631598.3594
2012-10-19,1433.189941,-1220488012.9584
2012-10-22,1433.819946,1365092476.62
2012-10-23,1413.109985,856531693.2434
2012-10-24,1408.75,827957147.2866
2012-10-25,1412.969971,887952897.582
2012-10-26,1411.939941,869165396.35
